Year,Week,Department,Product_ID,Product_Description,Brand,Product_Group,Sales_Cost,Units_Sold,Total_Sales
2024,5,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,14548.8023076923,9,22997.12
2024,7,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,3233.7323076923,2,5170.95
2024,8,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,6467.4646153846,4,9933.67
2024,9,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,3165.15,2,5443.1
2024,10,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,9495.45,6,16193.22
2024,11,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,7912.875,5,12519.14
2024,13,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,4747.725,3,7756.42
2024,14,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,7662.2326923077,5,13335.59
2024,15,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,3064.89307692308,2,5307.02
2024,16,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,16856.9119230769,11,28712.25
2024,17,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,9194.67923076924,6,15240.69
2024,18,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,14470.325,9,23541.41
2024,19,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1607.81388888889,1,2578.55
2024,19,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,4823.44166666667,3,7892.5
2024,20,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,8039.06944444445,5,13063.44
2024,21,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,12862.5111111111,8,20683.78
2024,22,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,8039.06944444445,5,12124.41
2024,23,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,14236.67925,9,22724.96
2024,24,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,3163.7065,2,5307.02
2024,25,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,15818.5325,10,25446.51
2024,26,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,26891.50525,17,43680.9
2024,27,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,7986.85,5,12927.37
2024,28,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1597.37,1,2930.17
2024,28,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,15973.7,10,25446.49
2024,29,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1597.37,1,2930.17
2024,29,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,11181.59,7,18234.39
2024,30,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,4792.11,3,7620.35
2024,31,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,6367.67631578948,4,10069.74
2024,32,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,7950.5105263158,5,12927.37
2024,33,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,4770.30631578948,3,7620.35
2024,34,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,7950.5105263158,5,12519.14
2024,35,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,4770.30631578948,3,7620.34
2024,36,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,7968.20535714285,5,13471.67
2024,37,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,6374.56428571428,4,10015.32
2024,38,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,6374.56428571428,4,9879.24
2024,39,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,19123.6928571428,12,28930.13
2024,40,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,12564.0838203463,8,19363.75
2024,41,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1556.63212121212,1,2637.16
2024,41,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,4669.89636363636,3,7946.92
2024,42,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1556.63212121212,1,2637.16
2024,42,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,7783.1606060606,5,12464.72
2024,43,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,20236.2175757576,13,33597.68
2024,44,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,12429.4671969697,8,20547.71
2024,45,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,15487.6886363636,10,25595.84
2024,46,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1548.76886363636,1,2490.65
2024,46,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,13938.9197727272,9,22180.01
2024,47,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1548.76886363636,1,2490.65
2024,47,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,18585.2263636363,12,27582.55
2024,48,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,13950.1809090909,9,20992.5
2024,49,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1560.03,1,2051.12
2024,49,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,10920.21,7,15925.34
2024,50,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,3120.06,2,5127.81
2024,50,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,17160.33,11,25094.48
2024,51,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,21840.42,14,32815.84
